"Date";"Time";"Script";"ScriptVersion";"Event"
"2023-03-21";"15:52:41";"";;"M2MQtt module loaded"
"2023-03-21";"15:52:43";"";;"Connecting to MQTT server 1883"
"2023-03-21";"16:31:02";"";;"Update-Prices | No update possible, this will be available after 15:00o clock. Current time: 16:31"
"2023-03-21";"16:34:35";"";;"Get-StoredPrices | Retrieve all prices from disk"
"2023-03-21";"16:34:35";"";;"Get-StoredPrices | Get stored gas prices of Today"
"2023-03-21";"16:34:35";"";;"Get-StoredPrices | Check if data is up-to-date"
"2023-03-21";"16:34:35";"";;"Get-StoredPrices | Data is out-dated, remove stored prices and retrieve new ones"
"2023-03-21";"16:34:35";"";;"Update-Prices | Get gas prices"
"2023-03-21";"16:34:36";"";;"Update-Prices | Verify if prices are retrieved"
"2023-03-21";"16:34:36";"";;"Update-Prices | Prices retrieved, rename columns"
"2023-03-21";"16:34:36";"";;"Update-Prices | Convert data to PowerShell accepted values"
"2023-03-21";"16:34:36";"";;"Update-Prices | Check if prices are up-to-date"
"2023-03-21";"16:34:36";"";;"Update-Prices | Data is not up to date, remove stored prices as well and return null"
"2023-03-21";"16:37:31";"";;"Update-Prices | Get gas prices"
"2023-03-21";"20:36:02";"";;"M2MQtt module loaded"
"2023-03-21";"20:36:28";"";;"Connecting to MQTT server 1883"
"2023-03-21";"21:42:52";"";;"Get-StoredPrices | Retrieve all prices from disk"
"2023-03-21";"21:42:52";"";;"Get-StoredPrices | No data stored, retrieve new ones"
"2023-03-21";"21:42:52";"";;"Update-Prices | Get electric prices of today"
"2023-03-21";"21:42:53";"";;"Update-Prices | Verify if prices are retrieved"
"2023-03-21";"21:42:53";"";;"Update-Prices | Prices retrieved, rename columns"
"2023-03-21";"21:42:53";"";;"Update-Prices | Convert data to PowerShell accepted values"
"2023-03-21";"21:42:53";"";;"Update-Prices | Check if prices are up-to-date"
"2023-03-21";"21:42:53";"";;"Update-Prices | Data is not up to date, remove stored prices as well and return null"
"2023-03-21";"21:50:53";"";;"M2MQtt module loaded"
"2023-03-21";"21:51:10";"";;"Get-StoredPrices | Retrieve all prices from disk"
"2023-03-21";"21:51:10";"";;"Get-StoredPrices | No data stored, retrieve new ones"
"2023-03-21";"21:51:10";"";;"Update-Prices | Get electric prices of today"
"2023-03-21";"21:51:10";"";;"Update-Prices | Verify if prices are retrieved"
"2023-03-21";"21:51:10";"";;"Update-Prices | Prices retrieved, convert data to PowerShell accepted values"
"2023-03-21";"21:51:11";"";;"Update-Prices | Check if prices are up-to-date"
"2023-03-21";"21:51:11";"";;"Update-Prices | Prices are up-to-date, write prices to file"
"2023-03-21";"22:37:26";"";;"Get-StoredPrices | Retrieve all prices from disk"
"2023-03-21";"22:37:26";"";;"Get-StoredPrices | No data stored, retrieve new ones"
"2023-03-21";"22:37:26";"";;"Update-Prices | Get electric prices of tomorrow"
"2023-03-21";"22:37:26";"";;"Update-Prices | Verify if prices are retrieved"
"2023-03-21";"22:37:26";"";;"Update-Prices | Prices retrieved, convert data to PowerShell accepted values"
"2023-03-21";"22:37:26";"";;"Update-Prices | Check if prices are up-to-date"
"2023-03-21";"22:37:26";"";;"Update-Prices | Prices are up-to-date, write prices to file"
"2023-03-21";"22:59:43";"";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-21";"22:59:43";"";;"Collect statistics of AIP"
"2023-03-21";"22:59:43";"";;"Publish statistics of AIP today"
"2023-03-21";"22:59:43";"";;"Collect statistics of ANWB"
"2023-03-21";"22:59:43";"";;"Publish statistics of ANWB today"
"2023-03-21";"22:59:43";"";;"Collect statistics of EE"
"2023-03-21";"22:59:43";"";;"Publish statistics of EE today"
"2023-03-21";"22:59:43";"";;"Collect statistics of EVO"
"2023-03-21";"22:59:43";"";;"Publish statistics of EVO today"
"2023-03-21";"22:59:43";"";;"Collect statistics of Exchange"
"2023-03-21";"22:59:43";"";;"Publish statistics of Exchange today"
"2023-03-21";"22:59:43";"";;"Collect statistics of EZ"
"2023-03-21";"22:59:43";"";;"Publish statistics of EZ today"
"2023-03-21";"22:59:43";"";;"Collect statistics of FR"
"2023-03-21";"22:59:43";"";;"Publish statistics of FR today"
"2023-03-21";"22:59:43";"";;"Collect statistics of GSL"
"2023-03-21";"22:59:43";"";;"Publish statistics of GSL today"
"2023-03-21";"22:59:43";"";;"Collect statistics of MDE"
"2023-03-21";"22:59:43";"";;"Publish statistics of MDE today"
"2023-03-21";"22:59:43";"";;"Collect statistics of NE"
"2023-03-21";"22:59:43";"";;"Publish statistics of NE today"
"2023-03-21";"22:59:43";"";;"Collect statistics of TI"
"2023-03-21";"22:59:43";"";;"Publish statistics of TI today"
"2023-03-21";"22:59:43";"";;"Collect statistics of VON"
"2023-03-21";"22:59:43";"";;"Publish statistics of VON today"
"2023-03-21";"22:59:43";"";;"Collect statistics of ZG"
"2023-03-21";"22:59:43";"";;"Publish statistics of ZG today"
"2023-03-21";"22:59:43";"";;"Collect statistics of ZP"
"2023-03-21";"22:59:43";"";;"Publish statistics of ZP today"
"2023-03-21";"23:00:43";"";;"Connecting to MQTT server 1883"
"2023-03-21";"23:00:52";"";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-21";"23:00:52";"";;"Collect statistics of AIP"
"2023-03-21";"23:00:52";"";;"Publish statistics of AIP today"
"2023-03-21";"23:00:52";"";;"Collect statistics of ANWB"
"2023-03-21";"23:00:52";"";;"Publish statistics of ANWB today"
"2023-03-21";"23:00:52";"";;"Collect statistics of EE"
"2023-03-21";"23:00:52";"";;"Publish statistics of EE today"
"2023-03-21";"23:00:52";"";;"Collect statistics of EVO"
"2023-03-21";"23:00:52";"";;"Publish statistics of EVO today"
"2023-03-21";"23:00:52";"";;"Collect statistics of Exchange"
"2023-03-21";"23:00:52";"";;"Publish statistics of Exchange today"
"2023-03-21";"23:00:52";"";;"Collect statistics of EZ"
"2023-03-21";"23:00:52";"";;"Publish statistics of EZ today"
"2023-03-21";"23:00:52";"";;"Collect statistics of FR"
"2023-03-21";"23:00:52";"";;"Publish statistics of FR today"
"2023-03-21";"23:00:52";"";;"Collect statistics of GSL"
"2023-03-21";"23:00:52";"";;"Publish statistics of GSL today"
"2023-03-21";"23:00:52";"";;"Collect statistics of MDE"
"2023-03-21";"23:00:52";"";;"Publish statistics of MDE today"
"2023-03-21";"23:00:52";"";;"Collect statistics of NE"
"2023-03-21";"23:00:52";"";;"Publish statistics of NE today"
"2023-03-21";"23:00:52";"";;"Collect statistics of TI"
"2023-03-21";"23:00:52";"";;"Publish statistics of TI today"
"2023-03-21";"23:00:52";"";;"Collect statistics of VON"
"2023-03-21";"23:00:52";"";;"Publish statistics of VON today"
"2023-03-21";"23:00:52";"";;"Collect statistics of ZG"
"2023-03-21";"23:00:52";"";;"Publish statistics of ZG today"
"2023-03-21";"23:00:52";"";;"Collect statistics of ZP"
"2023-03-21";"23:00:52";"";;"Publish statistics of ZP today"
"2023-03-21";"23:03:44";"";;"Publish message to MQTT server 1883 - Todays prices"
"2023-03-21";"23:03:44";"";;"Collect statistics of AIP"
"2023-03-21";"23:03:44";"";;"Publish statistics of AIP today"
"2023-03-21";"23:03:44";"";;"Collect statistics of ANWB"
"2023-03-21";"23:03:44";"";;"Publish statistics of ANWB today"
"2023-03-21";"23:03:44";"";;"Collect statistics of EE"
"2023-03-21";"23:03:44";"";;"Publish statistics of EE today"
"2023-03-21";"23:03:44";"";;"Collect statistics of EVO"
"2023-03-21";"23:03:44";"";;"Publish statistics of EVO today"
"2023-03-21";"23:03:44";"";;"Collect statistics of Exchange"
"2023-03-21";"23:03:44";"";;"Publish statistics of Exchange today"
"2023-03-21";"23:03:44";"";;"Collect statistics of EZ"
"2023-03-21";"23:03:44";"";;"Publish statistics of EZ today"
"2023-03-21";"23:03:44";"";;"Collect statistics of FR"
"2023-03-21";"23:03:44";"";;"Publish statistics of FR today"
"2023-03-21";"23:03:44";"";;"Collect statistics of GSL"
"2023-03-21";"23:03:44";"";;"Publish statistics of GSL today"
"2023-03-21";"23:03:44";"";;"Collect statistics of MDE"
"2023-03-21";"23:03:44";"";;"Publish statistics of MDE today"
"2023-03-21";"23:03:44";"";;"Collect statistics of NE"
